feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
SYN-SUR-005,7,V4_C7,5,C1.4
SYN-SUR-006,7,V4_C7,5,C1.4
SYN-SUR-007,7,V4_C7,5,C1.4
SYN-SUR-008,2,V4_C2,3,C1.2
SYN-SUR-009,2,V4_C2,3,C1.2
SYN-SUR-010,2,V4_C2,3,C1.2
SYN-SUR-011,2,V4_C2,3,C1.2
SYN-SUR-012,2,V4_C2,3,C1.2
SYN-SUR-013,6,V4_C6,4,C1.3
SYN-SUR-014,6,V4_C6,4,C1.3
SYN-SUR-015,1,V4_C1,12,C5.1
SYN-SUR-016,1,V4_C1,12,C5.1
SYN-SUR-017,6,V4_C6,4,C1.3
SYN-SUR-018,6,V4_C6,2,C1.1
SYN-SUR-019,6,V4_C6,2,C1.1
SYN-SUR-020,3,V4_C3,8,C3.1
SYN-SUR-021,3,V4_C3,8,C3.1
SYN-SUR-022,6,V4_C6,2,C1.1
SYN-SUR-023,0,V4_C0,9,C4.0
SYN-SUR-024,0,V4_C0,10,C4.1
SYN-SUR-025,0,V4_C0,9,C4.0
SYN-SUR-026,0,V4_C0,10,C4.1
SYN-SUR-027,0,V4_C0,9,C4.0
SYN-SUR-028,2,V4_C2,1,C1.0
SYN-SUR-029,2,V4_C2,3,C1.2
SYN-SUR-030,4,V4_C4,6,C2
SYN-SUR-031,4,V4_C4,6,C2
SYN-SUR-032,4,V4_C4,6,C2
SYN-SUR-033,1,V4_C1,12,C5.1
SYN-SUR-034,1,V4_C1,11,C5.0
SYN-SUR-035,1,V4_C1,12,C5.1
SYN-ENH-001,7,V4_C7,5,C1.4
SYN-ENH-002,7,V4_C7,5,C1.4
SYN-ENH-003,7,V4_C7,5,C1.4
SYN-ENH-004,7,V4_C7,5,C1.4
SYN-ENH-005,7,V4_C7,5,C1.4
SYN-ENH-006,7,V4_C7,5,C1.4
SYN-ENH-007,7,V4_C7,5,C1.4
SYN-ENH-008,6,V4_C6,4,C1.3
SYN-ENH-009,3,V4_C3,8,C3.1
SYN-ENH-010,7,V4_C7,5,C1.4
SYN-ENH-011,7,V4_C7,5,C1.4
SYN-ENH-012,6,V4_C6,4,C1.3
SYN-ENH-013,7,V4_C7,5,C1.4
SYN-ENH-014,6,V4_C6,2,C1.1
SYN-ENH-015,7,V4_C7,5,C1.4
SYN-ENH-016,7,V4_C7,5,C1.4
SYN-ENH-017,7,V4_C7,5,C1.4
SYN-ENH-018,7,V4_C7,5,C1.4
SYN-ENH-019,7,V4_C7,5,C1.4
SYN-ENH-020,7,V4_C7,5,C1.4
SYN-ENH-021,7,V4_C7,5,C1.4
SYN-ENH-022,7,V4_C7,5,C1.4
SYN-ENH-023,6,V4_C6,2,C1.1
SYN-ENH-024,2,V4_C2,1,C1.0
SYN-ENH-025,7,V4_C7,5,C1.4
SYN-ENH-026,7,V4_C7,5,C1.4
SYN-ENH-027,7,V4_C7,5,C1.4
SYN-ENH-028,7,V4_C7,5,C1.4
SYN-ENH-029,7,V4_C7,5,C1.4
SYN-ENH-030,7,V4_C7,5,C1.4
SYN-ENH-031,0,V4_C0,9,C4.0
SYN-ENH-032,7,V4_C7,5,C1.4
SYN-ENH-033,7,V4_C7,5,C1.4
SYN-ENH-034,7,V4_C7,5,C1.4
SYN-ENH-035,7,V4_C7,5,C1.4
SYN-ENH-036,7,V4_C7,5,C1.4
SYN-ENH-037,7,V4_C7,5,C1.4
SYN-ENH-038,7,V4_C7,5,C1.4
SYN-ENH-039,7,V4_C7,5,C1.4
SYN-ENH-040,7,V4_C7,5,C1.4
SYN-ENH-041,2,V4_C2,3,C1.2
SYN-ENH-042,2,V4_C2,3,C1.2
SYN-ENH-043,2,V4_C2,3,C1.2
SYN-ENH-044,2,V4_C2,3,C1.2
SYN-ENH-045,2,V4_C2,3,C1.2
SYN-ENH-046,2,V4_C2,3,C1.2
SYN-ENH-047,2,V4_C2,3,C1.2
SYN-ENH-048,2,V4_C2,3,C1.2
SYN-ENH-049,2,V4_C2,3,C1.2
SYN-ENH-050,2,V4_C2,3,C1.2
SYN-ENH-051,2,V4_C2,3,C1.2
SYN-ENH-052,2,V4_C2,3,C1.2
SYN-ENH-053,6,V4_C6,4,C1.3
SYN-ENH-054,2,V4_C2,3,C1.2
SYN-ENH-055,2,V4_C2,3,C1.2
SYN-ENH-056,0,V4_C0,9,C4.0
SYN-ENH-057,2,V4_C2,3,C1.2
SYN-ENH-058,2,V4_C2,3,C1.2
SYN-ENH-059,2,V4_C2,3,C1.2
SYN-ENH-060,2,V4_C2,1,C1.0
SYN-ENH-061,2,V4_C2,3,C1.2
